,Trainsize,Devsize,Lr,Hidden,steps,batchsize,anneal,Accuracy,
0,1000,1000,0.5,50,0,25,5,0.709,
0,1000,1000,0.5,50,2,25,5,0.711,
0,1000,1000,0.5,50,5,25,5,0.71,
0,1000,1000,0.1,50,0,25,5,0.667,
0,1000,1000,0.1,50,2,25,5,0.669,
0,1000,1000,0.1,50,5,25,5,0.669,
0,1000,1000,0.05,50,0,25,5,0.666,
0,1000,1000,0.05,50,2,25,5,0.669,
0,1000,1000,0.05,50,5,25,5,0.669,
0,1000,1000,0.5,25,0,25,5,0.669,
0,1000,1000,0.5,25,2,25,5,0.713,
0,1000,1000,0.5,25,5,25,5,0.713,
0,1000,1000,0.1,25,0,25,5,0.658,
0,1000,1000,0.1,25,2,25,5,0.666,
0,1000,1000,0.1,25,5,25,5,0.666,
0,1000,1000,0.05,25,0,25,5,0.659,
0,1000,1000,0.05,25,2,25,5,0.658,
0,1000,1000,0.05,25,5,25,5,0.658,
0,1000,1000,0.5,50,2,25,5,0.732,Epochs 15
0,1000,1000,0.5,50,5,25,5,0.733,Epochs 15
0,1000,1000,0.5,25,2,25,5,0.727,Epochs 15
0,1000,1000,0.5,25,5,25,5,0.726,Epochs 15
0,25000,1000,0.5,50,5,25,5,0.868,
