,Trainsize,Devsize,Lr,Hidden,steps,batchsize,anneal,Accuracy,acc0,acc1,acc2,acc3,acc4,acc5,acc6,acc7,acc8,acc9,acc10,,,,
0,4000,1500,0.5,50,0,25,5,0.70310192,0.751824818,0.598540146,0.715328467,0.737226277,0.722627737,0.686131387,0.729927007,0.678832117,0.686131387,0.766666667,0.612903226,,,,
0,4000,1500,0.5,50,1,25,5,0.713441654,0.766423358,0.664233577,0.715328467,0.729927007,0.715328467,0.708029197,0.722627737,0.693430657,0.737226277,0.733333333,0.516129032,,,,
0,4000,1500,0.5,50,2,25,5,0.709748892,0.759124088,0.664233577,0.715328467,0.729927007,0.715328467,0.700729927,0.722627737,0.678832117,0.744525547,0.711111111,0.516129032,,,,
0,4000,1500,0.5,50,3,25,5,0.710487445,0.759124088,0.664233577,0.715328467,0.729927007,0.715328467,0.708029197,0.729927007,0.678832117,0.751824818,0.7,0.483870968,,,,
0,4000,1500,0.5,50,4,25,5,0.711225997,0.759124088,0.671532847,0.715328467,0.729927007,0.715328467,0.708029197,0.729927007,0.678832117,0.751824818,0.7,0.483870968,,,,
0,4000,1500,0.5,50,5,25,5,0.713441654,0.766423358,0.671532847,0.715328467,0.729927007,0.715328467,0.708029197,0.729927007,0.686131387,0.751824818,0.711111111,0.483870968,,,,
0,4000,1500,0.5,50,6,25,5,0.713441654,0.766423358,0.671532847,0.715328467,0.729927007,0.715328467,0.708029197,0.729927007,0.686131387,0.751824818,0.711111111,0.483870968,,,,
0,4000,1500,0.5,50,7,25,5,0.712703102,0.766423358,0.671532847,0.715328467,0.729927007,0.715328467,0.708029197,0.729927007,0.678832117,0.751824818,0.711111111,0.483870968,,,,
0,4000,1500,0.5,50,8,25,5,0.711964549,0.766423358,0.671532847,0.715328467,0.729927007,0.715328467,0.708029197,0.729927007,0.678832117,0.751824818,0.7,0.483870968,,,,
0,4000,1500,0.5,50,9,25,5,0.711964549,0.766423358,0.671532847,0.715328467,0.729927007,0.715328467,0.708029197,0.729927007,0.678832117,0.751824818,0.7,0.483870968,,,,
0,4000,1500,0.5,50,10,25,5,0.711964549,0.766423358,0.671532847,0.715328467,0.729927007,0.715328467,0.708029197,0.729927007,0.678832117,0.751824818,0.7,0.483870968,,,,
Epoch = 20,,VocabSize = 1000,,,,,,,,,,,,,,,,,,,,,
0,4000,1500,0.3,100,0,50,10,0.706794682,0.773722628,0.605839416,0.715328467,0.737226277,0.729927007,0.693430657,0.729927007,0.678832117,0.678832117,0.766666667,0.612903226,,,,
0,4000,1500,0.3,100,1,50,10,0.706794682,0.751824818,0.591240876,0.744525547,0.744525547,0.700729927,0.708029197,0.737226277,0.678832117,0.678832117,0.788888889,0.580645161,,,,
0,4000,1500,0.3,100,2,50,10,0.708271787,0.744525547,0.613138686,0.744525547,0.751824818,0.700729927,0.708029197,0.744525547,0.678832117,0.678832117,0.777777778,0.548387097,,,,
0,4000,1500,0.3,100,3,50,10,0.709748892,0.744525547,0.613138686,0.744525547,0.751824818,0.708029197,0.708029197,0.751824818,0.678832117,0.678832117,0.777777778,0.548387097,,,,
0,4000,1500,0.3,100,4,50,10,0.719350074,0.766423358,0.693430657,0.708029197,0.773722628,0.693430657,0.700729927,0.766423358,0.715328467,0.700729927,0.711111111,0.548387097,,,,
0,4000,1500,0.3,100,5,50,10,0.720088626,0.751824818,0.700729927,0.722627737,0.751824818,0.729927007,0.686131387,0.759124088,0.729927007,0.715328467,0.677777778,0.548387097,,,,
0,4000,1500,0.3,100,6,50,10,0.724519941,0.759124088,0.708029197,0.715328467,0.766423358,0.722627737,0.686131387,0.773722628,0.744525547,0.722627737,0.666666667,0.548387097,,,,
0,4000,1500,0.3,100,7,50,10,0.726735598,0.766423358,0.700729927,0.715328467,0.773722628,0.722627737,0.693430657,0.781021898,0.744525547,0.722627737,0.666666667,0.548387097,,,,
0,4000,1500,0.3,100,8,50,10,0.724519941,0.766423358,0.693430657,0.715328467,0.773722628,0.722627737,0.686131387,0.781021898,0.729927007,0.722627737,0.677777778,0.548387097,,,,
0,4000,1500,0.3,100,9,50,10,0.723781388,0.766423358,0.693430657,0.715328467,0.773722628,0.715328467,0.686131387,0.781021898,0.729927007,0.722627737,0.677777778,0.548387097,,,,
0,4000,1500,0.3,100,10,50,10,0.725258493,0.766423358,0.700729927,0.715328467,0.773722628,0.722627737,0.686131387,0.781021898,0.729927007,0.722627737,0.677777778,0.548387097,,,,
Epochs =20,,VocabSize = 5000,,,,,,,,,,,,,,,,,,,,,
0,4000,1500,0.3,100,0,50,10,0.701624815,0.729927007,0.591240876,0.700729927,0.729927007,0.708029197,0.700729927,0.737226277,0.700729927,0.678832117,0.788888889,0.612903226,,,,
0,4000,1500,0.3,100,1,50,10,0.715657312,0.781021898,0.671532847,0.715328467,0.759124088,0.671532847,0.686131387,0.744525547,0.700729927,0.715328467,0.744444444,0.612903226,,,,
0,4000,1500,0.3,100,6,50,10,0.729689808,0.759124088,0.715328467,0.722627737,0.824817518,0.686131387,0.693430657,0.759124088,0.708029197,0.737226277,0.722222222,0.580645161,,,,
Epochs =20,,VocabSize = 300,,,,,,,,,,,,,,,,,,,,,
0,4000,1500,0.3,25,0,50,10,0.701624815,0.729927007,0.591240876,0.700729927,0.729927007,0.708029197,0.700729927,0.737226277,0.700729927,0.678832117,0.788888889,0.612903226,,,,
Only training 0 distance,,,,,,,,,,,,,,,,,,,,,,,
0,25000,1000,0.5,50,0,25,10,0.699519231,0.758241758,0.593406593,0.67032967,0.725274725,0.703296703,0.692307692,0.78021978,0.671052632,0.661016949,0.862068966,0.612903226,,,,
0,25000,1000,0.5,50,1,25,10,0.681490385,0.868131868,0.571428571,0.593406593,0.659340659,0.725274725,0.67032967,0.725274725,0.671052632,0.644067797,0.793103448,0.548387097,,,,
0,25000,1000,0.5,50,2,25,10,0.682692308,0.868131868,0.582417582,0.615384615,0.659340659,0.725274725,0.637362637,0.714285714,0.697368421,0.644067797,0.793103448,0.548387097,,,,
0,25000,1000,0.5,50,3,25,10,0.682692308,0.879120879,0.582417582,0.604395604,0.659340659,0.725274725,0.637362637,0.714285714,0.697368421,0.644067797,0.793103448,0.548387097,,,,
0,25000,1000,0.5,50,4,25,10,0.681490385,0.879120879,0.582417582,0.604395604,0.659340659,0.725274725,0.637362637,0.714285714,0.684210526,0.644067797,0.793103448,0.548387097,,,,
0,25000,1000,0.5,50,5,25,10,0.682692308,0.879120879,0.582417582,0.604395604,0.659340659,0.725274725,0.637362637,0.714285714,0.697368421,0.644067797,0.793103448,0.548387097,,,,
0,25000,1000,0.5,50,6,25,10,0.682692308,0.879120879,0.582417582,0.604395604,0.659340659,0.725274725,0.637362637,0.714285714,0.697368421,0.644067797,0.793103448,0.548387097,,,,
0,25000,1000,0.5,50,7,25,10,0.681490385,0.879120879,0.582417582,0.604395604,0.659340659,0.725274725,0.637362637,0.714285714,0.684210526,0.644067797,0.793103448,0.548387097,,,,
Only training 5 distance,,,,,,,,,,,,,,,,,,,,,,,
0,25000,1000,0.5,50,0,25,10,0.701923077,0.725274725,0.582417582,0.692307692,0.747252747,0.692307692,0.725274725,0.78021978,0.644736842,0.677966102,0.896551724,0.612903226,,,,
